"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級数,学級数（学級）,（再掲）特別支援学級数
鏡野町立大野小学校,30,19,30,23,28,29,87,72,159,7,8,2
鏡野町立鶴喜小学校,19,9,11,21,19,22,51,50,101,12,8,2
鏡野町立香々美小学校,8,10,4,7,6,6,16,25,41,4,5,1
鏡野町立香北小学校,2,,5,2,1,4,4,10,14,,3,
鏡野町立奥津小学校,5,7,6,11,8,11,23,25,48,2,7,1
鏡野町立上齋原小学校,,,1,2,2,2,5,2,7,,2,
鏡野町立富小学校,3,2,2,4,3,3,10,7,17,,3,
勝央町立勝間田小学校,78,84,67,64,79,75,231,216,447,26,18,4
勝央町立勝央北小学校,33,25,40,38,37,41,109,105,214,20,9,3
奈義町立奈義小学校,66,53,55,45,45,47,159,152,311,19,16,4
西粟倉村立西粟倉小学校,12,14,16,17,6,13,33,45,78,5,7,1
久米南町立弓削小学校,8,4,11,13,10,13,25,34,59,1,7,1
